Категория;Товар;Цена;Адрес;Видим;Хит;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения
Коктейли;"Пинья колада";;пинья_колада;1;1;;;;;;"Пинья колада";"Пинья колада, Коктейли";"Традиционный карибский алкогольный коктейль, содержащий ром, кокосовый ликёр и ананасовый сок.";"<p>Традиционный карибский алкогольный коктейль, содержащий ром, кокосовый ликёр и ананасовый сок.</p>";;"pina-colada-pg-162934_L.jpg, pina-colada.jpg, mex_colada.jpg, 4a741d1a5106b.jpg, img038.jpg, pina-colada_big.jpg"
Коктейли;Космополитен;;космополитен;1;1;;;;;;Космополитен;"Космополитен, Коктейли";"Алкогольный коктейль, который пользуется огромной популярностью во всем мире. Герой фильмов, сериалов, звезда всех вечеринок.";"<p>Алкогольный коктейль, который пользуется огромной популярностью во всем мире. Герой фильмов, сериалов, звезда всех вечеринок.</p>";;"redswerve.jpg, kokteil_kosmopoliten-2831.jpg, i-1311.jpg"
Коктейли;Мохито;;мохито;1;1;;;;;;Мохито;"Мохито, Коктейли";"Рецепт Мохито появился в Гаване, столице Кубы, в маленьком кафе-ресторане &laquo;Бодехита дель Медио&raquo;, в двух шагах от собора в Калле Эмперадо.";"<p>Рецепт Мохито появился в Гаване, столице Кубы, в маленьком кафе-ресторане &laquo;Бодехита дель Медио&raquo;, в двух шагах от собора в Калле Эмперадо.</p>";;"3935mojito_coctail.jpg, bacardi_mojito.jpg, Mojito.jpg"
Коктейли;"Лонг айленд";;лонг_айленд;1;1;;;;;;"Лонг айленд";"Лонг айленд, Коктейли";"Название коктейля происходит от имени острова Лонг-Айленд, первого жилого центра в бухте Нью-Йорка";"<p>Название коктейля происходит от имени острова Лонг-Айленд, первого жилого центра в бухте Нью-Йорка</p>";;long-island-iced-tea.jpg
Коктейли;Дайкири;;дайкири;1;0;;;;;;Дайкири;"Дайкири, Коктейли";"Коктейль дайкири остается одним из наиболее употребляемых в мире коктейлей, исходя из его способности хорошо утолять жажду.";"<p>Коктейль дайкири остается одним из наиболее употребляемых в мире коктейлей, исходя из его способности хорошо утолять жажду.</p>";;KirRoyale2.jpg
Коктейли;Маргарита;;маргарита;1;1;;;;;;Маргарита;"Маргарита, Коктейли";"Это коктейль, содержащий текилу с добавлением сока лайма или лимона, цитрусового ликёра &mdash; трипл-сек, и льда";"<p>Это коктейль, содержащий текилу с добавлением сока лайма или лимона, цитрусового ликёра &mdash; трипл-сек, и льда</p>";;"28772-hi-Margarita.jpg, Margarita.jpg, margarita_01.gif, margarita_1.jpg, 11555_11434_margherita.zoom.jpg"
Коктейли;"Б 52";;б_52;1;0;;;;;;"Б 52";"Б 52, Коктейли";"В правильно приготовленном коктейле кофейный ликёр (например, Kahl&uacute;a), ликёр Бейлис и ликёр Cointreau не смешиваются и создают три хорошо видных слоя";"<p>В правильно приготовленном коктейле кофейный ликёр (например, Kahl&uacute;a), ликёр Бейлис и ликёр Cointreau не смешиваются и создают три хорошо видных слоя</p>";;b52.jpg
Коктейли;"Кровавая Мэри";;кровавая_мэри;1;0;;;;;;"Кровавая Мэри";"Кровавая Мэри, Коктейли";"Коктейль, содержащий водку, томатный сок, лимонный сок, специи и другие добавки (часто используют Вустерский соус)";"<p>Коктейль, содержащий водку, томатный сок, лимонный сок, специи и другие добавки (часто используют Вустерский соус)</p>";;cutcaster-photo-100752961-Bloody-Mary.jpg
Коктейли;"Секс на пляже";;секс_на_пляже;1;1;;;;;;"Секс на пляже";"Секс на пляже, Коктейли";"Популярный алкогольный коктейль, содержащий водку, персиковый шнапс, апельсиновый и клюквенный сок. Входит в число официальных коктейлей Международной ассоциации барменов";"<p>Популярный алкогольный коктейль, содержащий водку, персиковый шнапс, апельсиновый и клюквенный сок. Входит в число официальных коктейлей Международной ассоциации барменов</p>";;sotb-1.jpg
Коктейли;Сангрия;;сангрия;1;0;;;;;;Сангрия;"Сангрия, Коктейли";"Испанский слабоалкогольный напиток на основе красного вина с добавлением кусочков фруктов, сахара, а также небольшого количества бренди и сухого ликёра";"<p>Испанский слабоалкогольный напиток на основе красного вина с добавлением кусочков фруктов, сахара, а также небольшого количества бренди и сухого ликёра</p>";;"CincoSangria.jpg, slider(1).jpg, sangria.jpg, 1422362(9).jpg, 4555537579_5ba5439abe.jpg, Sangria.Mango.jpg, sangria_1.jpg, Sangria_shampagne-69411.jpg, f7c461edaa6fd74b7efc0cbd60051053.0.jpg"
Коктейли;"Голубая лагуна";;голубая_лагуна;1;1;;;;;;"Голубая лагуна";"Голубая лагуна, Коктейли";"Коктейль ""голубая лагуна"" обязан своим необычайно волнующим цветом ликёру Blue Curacao.";"<p>Коктейль ""голубая лагуна"" обязан своим необычайно волнующим цветом ликёру Blue Curacao.</p>";;blue-lagoon-large.jpg
Коктейли;"Джин физз";;джин_физз;1;0;;;;;;"Джин физз";"Джин физз, Коктейли";"Этот коктейль был придуман американцем Генри Рамосом, чьей специальностью был коктейль Ramos Gin Fizz, в который он добавлял белок и бил коктейль в шейкере 5 минут.";"<p>Этот коктейль был придуман американцем Генри Рамосом, чьей специальностью был коктейль Ramos Gin Fizz, в который он добавлял белок и бил коктейль в шейкере 5 минут.</p>";;1869_1_380.jpg
